RA,IAA,IEG,IPS,math,portuguese,lag,year
RA-294,"9,6","5,8","7,5",,,-5,2022
RA-295,"7,9","8,0","7,5","5,3","7,7",-1,2022
RA-296,"8,8","3,6","7,5","5,7","2,7",-2,2022
RA-297,"7,1","7,9","6,3","6,3","5,3",0,2022
RA-298,"9,2","6,3","5,6","5,5","4,8",0,2022
RA-299,"7,1","8,2","5,0","6,3","7,3",0,2022
RA-300,"5,4","6,9","6,3","2,7","4,8",-1,2022
RA-301,"8,8","5,8","5,6","6,5","7,2",0,2022
RA-302,"9,2","7,7","6,9","4,3","5,0",-3,2022
RA-303,"7,5","7,2","7,5","3,8","4,0",-1,2022
RA-304,"8,8","7,7","7,5","3,0","5,5",-2,2022
RA-305,"7,9","6,6","7,5","2,8","6,7",-1,2022
RA-306,"8,3","6,8","7,5","4,7","5,8",-1,2022
RA-307,"5,4","4,5","7,5","5,0","0,0",-1,2022
RA-308,"7,9","7,4","6,9","6,7","5,5",0,2022
RA-309,"9,2","5,2","7,5","7,0","6,0",-1,2022
RA-310,"7,9","7,5","7,5","3,7","3,8",-2,2022
RA-311,"7,9","5,6","5,0","5,0","6,2",-3,2022
RA-312,"9,6","8,1","7,5","6,0","4,5",0,2022
RA-313,"7,5","7,0","5,0","4,7","5,0",-1,2022
RA-314,"5,4","5,4","5,0","4,3","3,3",0,2022
RA-315,"6,7","5,1","7,5","3,0","4,2",0,2022
RA-316,"10,0","10,0","6,9","7,0","6,5",-1,2022
RA-317,"8,8","5,6","7,5","4,7","5,7",0,2022
RA-318,"8,3","6,9","6,9","4,3","5,8",-1,2022
RA-319,"9,2","7,7","7,5","6,3","4,3",0,2022
RA-320,"8,8","10,0","6,9","7,3","6,3",-1,2022
RA-321,"9,2","9,1","5,6","5,7","6,2",0,2022
RA-322,"7,1","8,1","5,0","4,3","5,7",0,2022
RA-323,"9,2","7,3","7,5","7,3","2,5",0,2022
RA-324,"10,0","9,3","6,9","6,3","7,2",0,2022
RA-325,"9,5","6,8","7,5","6,0","6,0",0,2022
RA-326,"10,0","9,7","5,0","8,7","9,3",-1,2022
RA-327,"8,5","8,8","7,5","2,3","3,2",0,2022
RA-328,"10,0","7,0","7,5","4,0","6,5",-1,2022
RA-329,"7,4","6,9","4,4","3,0","7,0",0,2022
RA-330,"9,5","8,8","7,5","2,3","2,7",-2,2022
